2025-05-25 10:08:44 root         INFO     Starting GetRecords Consumer
2025-05-25 10:08:45 root         INFO     Processed User Session {'session_id': '5be7a71e-1c5e-45fd-8970-477b702b21b5', 'customer_number': 142, 'city': 'San Diego', 'country': 'USA', 'credit_limit': 96485, 'browse_history': [{'product_code': 'S18_1097', 'quantity': '4', 'in_shopping_cart': True}, {'product_code': 'S32_1374', 'quantity': '3', 'in_shopping_cart': True}, {'product_code': 'S12_4473', 'quantity': '6', 'in_shopping_cart': False}, {'product_code': 'S10_4962', 'quantity': '2', 'in_shopping_cart': False}, {'product_code': 'S24_3969', 'quantity': '5', 'in_shopping_cart': True}], 'processing_timestamp': datetime.datetime(2025, 5, 25, 10, 8, 45, 361066), 'overall_product_quantity': 20, 'overall_in_shopping_cart': 12, 'total_different_products': 5}
2025-05-25 10:08:45 root         INFO     Produced record 49663623045524445412431876188304213675094677678584758274 to Shard shardId-000000000000


2025-05-25 10:08:45 root         INFO     Read User Session {'session_id': 'd1949c08-9289-411d-80ef-99ce100af973', 'customer_number': 417, 'city': 'Frankfurt', 'country': 'Germany', 'credit_limit': 97156, 'browse_history': [{'product_code': 'S12_3891', 'quantity': '7', 'in_shopping_cart': False}]} from Shard shardId-000000000000 at position 49663622084629936298149092249230742722605981820616966146
2025-05-25 10:08:45 root         INFO     Processed User Session {'session_id': 'd1949c08-9289-411d-80ef-99ce100af973', 'customer_number': 417, 'city': 'Frankfurt', 'country': 'Germany', 'credit_limit': 97156, 'browse_history': [{'product_code': 'S12_3891', 'quantity': '7', 'in_shopping_cart': False}], 'processing_timestamp': datetime.datetime(2025, 5, 25, 10, 8, 45, 386873), 'overall_product_quantity': 7, 'overall_in_shopping_cart': 0, 'total_different_products': 1}
2025-05-25 10:08:45 root         INFO     Produced record 49663623045524445412443812971721471318001460916221116418 to Shard shardId-000000000000


2025-05-25 10:08:45 root         INFO     Read User Session {'session_id': '9d7a6cff-b115-417e-985a-bcb1947d3735', 'customer_number': 251, 'city': 'Espoo', 'country': 'Finland', 'credit_limit': 167107, 'browse_history': [{'product_code': 'S18_1662', 'quantity': '1', 'in_shopping_cart': True}, {'product_code': 'S32_2206', 'quantity': '1', 'in_shopping_cart': False}]} from Shard shardId-000000000000 at position 49663622084629936298149092254508912851043454584090525698
2025-05-25 10:08:45 root         INFO     Processed User Session {'session_id': '9d7a6cff-b115-417e-985a-bcb1947d3735', 'customer_number': 251, 'city': 'Espoo', 'country': 'Finland', 'credit_limit': 167107, 'browse_history': [{'product_code': 'S18_1662', 'quantity': '1', 'in_shopping_cart': True}, {'product_code': 'S32_2206', 'quantity': '1', 'in_shopping_cart': False}], 'processing_timestamp': datetime.datetime(2025, 5, 25, 10, 8, 45, 411898), 'overall_product_quantity': 2, 'overall_in_shopping_cart': 1, 'total_different_products': 2}
2025-05-25 10:08:45 root         INFO     Produced record 49663623045524445412443812971746858760213368128889946114 to Shard shardId-000000000000


2025-05-25 10:08:45 root         INFO     Read User Session {'session_id': '52dce3f8-74a9-4028-a3a2-93b4dd812d87', 'customer_number': 246, 'city': 'Auckland', 'country': 'New Zealand', 'credit_limit': 65632, 'browse_history': [{'product_code': 'S18_2248', 'quantity': '9', 'in_shopping_cart': False}, {'product_code': 'S18_3482', 'quantity': '4', 'in_shopping_cart': False}, {'product_code': 'S24_2766', 'quantity': '1', 'in_shopping_cart': True}, {'product_code': 'S18_3140', 'quantity': '6', 'in_shopping_cart': True}]} from Shard shardId-000000000000 at position 49663622084629936298149092254715639166197556241684758530
2025-05-25 10:08:45 root         INFO     Processed User Session {'session_id': '52dce3f8-74a9-4028-a3a2-93b4dd812d87', 'customer_number': 246, 'city': 'Auckland', 'country': 'New Zealand', 'credit_limit': 65632, 'browse_history': [{'product_code': 'S18_2248', 'quantity': '9', 'in_shopping_cart': False}, {'product_code': 'S18_3482', 'quantity': '4', 'in_shopping_cart': False}, {'product_code': 'S24_2766', 'quantity': '1', 'in_shopping_cart': True}, {'product_code': 'S18_3140', 'quantity': '6', 'in_shopping_cart': True}], 'processing_timestamp': datetime.datetime(2025, 5, 25, 10, 8, 45, 436686), 'overall_product_quantity': 20, 'overall_in_shopping_cart': 7, 'total_different_products': 4}
2025-05-25 10:08:45 root         INFO     Produced record 49663623045524445412443812971786753312260650891655249922 to Shard shardId-000000000000


2025-05-25 10:08:45 root         INFO     Read User Session {'session_id': 'e00b3201-464b-4245-8bce-006c93b57e01', 'customer_number': 282, 'city': 'Barcelona', 'country': 'Spain', 'credit_limit': 109699, 'browse_history': [{'product_code': 'S12_3990', 'quantity': '4', 'in_shopping_cart': False}, {'product_code': 'S24_4620', 'quantity': '3', 'in_shopping_cart': False}, {'product_code': 'S24_3969', 'quantity': '9', 'in_shopping_cart': False}]} from Shard shardId-000000000000 at position 49663622084629936298149092259515074670067636126852579330
2025-05-25 10:08:45 root         INFO     Processed User Session {'session_id': 'e00b3201-464b-4245-8bce-006c93b57e01', 'customer_number': 282, 'city': 'Barcelona', 'country': 'Spain', 'credit_limit': 109699, 'browse_history': [{'product_code': 'S12_3990', 'quantity': '4', 'in_shopping_cart': False}, {'product_code': 'S24_4620', 'quantity': '3', 'in_shopping_cart': False}, {'product_code': 'S24_3969', 'quantity': '9', 'in_shopping_cart': False}], 'processing_timestamp': datetime.datetime(2025, 5, 25, 10, 8, 45, 465653), 'overall_product_quantity': 16, 'overall_in_shopping_cart': 0, 'total_different_products': 3}
2025-05-25 10:08:45 root         INFO     Produced record 49663623045524445412443812971871378119633674933884682242 to Shard shardId-000000000000


2025-05-25 10:08:45 root         INFO     Read User Session {'session_id': '8936023a-d249-4691-9408-0586d7c3a6c9', 'customer_number': 237, 'city': 'Kobenhavn', 'country': 'Denmark', 'credit_limit': 106932, 'browse_history': [{'product_code': 'S24_2011', 'quantity': '10', 'in_shopping_cart': True}, {'product_code': 'S72_3212', 'quantity': '4', 'in_shopping_cart': False}]} from Shard shardId-000000000001 at position 49663622084652237043347622819814228433132615679216713746
2025-05-25 10:08:45 root         INFO     Processed User Session {'session_id': '8936023a-d249-4691-9408-0586d7c3a6c9', 'customer_number': 237, 'city': 'Kobenhavn', 'country': 'Denmark', 'credit_limit': 106932, 'browse_history': [{'product_code': 'S24_2011', 'quantity': '10', 'in_shopping_cart': True}, {'product_code': 'S72_3212', 'quantity': '4', 'in_shopping_cart': False}], 'processing_timestamp': datetime.datetime(2025, 5, 25, 10, 8, 45, 521868), 'overall_product_quantity': 14, 'overall_in_shopping_cart': 10, 'total_different_products': 2}
2025-05-25 10:08:45 root         INFO     Produced record 49663623045524445412443812971963256481924386751162351618 to Shard shardId-000000000000


2025-05-25 10:08:45 root         INFO     Read User Session {'session_id': 'c8981d19-8dde-4698-9911-53b975bc405a', 'customer_number': 159, 'city': 'Köln', 'country': 'Germany', 'credit_limit': 100109, 'browse_history': [{'product_code': 'S32_2206', 'quantity': '2', 'in_shopping_cart': False}]} from Shard shardId-000000000001 at position 49663622084652237043347622851078259054186543721230630930
2025-05-25 10:08:45 root         INFO     Processed User Session {'session_id': 'c8981d19-8dde-4698-9911-53b975bc405a', 'customer_number': 159, 'city': 'Köln', 'country': 'Germany', 'credit_limit': 100109, 'browse_history': [{'product_code': 'S32_2206', 'quantity': '2', 'in_shopping_cart': False}], 'processing_timestamp': datetime.datetime(2025, 5, 25, 10, 8, 45, 546632), 'overall_product_quantity': 2, 'overall_in_shopping_cart': 0, 'total_different_products': 1}
2025-05-25 10:08:45 root         INFO     Produced record 49663623045524445412443812972007986737250128030626480130 to Shard shardId-000000000000


2025-05-25 10:08:45 root         INFO     Read User Session {'session_id': '586d29f9-2981-4b73-b7c1-6479ab2c91dc', 'customer_number': 367, 'city': 'North Sydney', 'country': 'Australia', 'credit_limit': 157860, 'browse_history': [{'product_code': 'S24_2000', 'quantity': '4', 'in_shopping_cart': False}, {'product_code': 'S18_2248', 'quantity': '2', 'in_shopping_cart': True}, {'product_code': 'S700_2610', 'quantity': '4', 'in_shopping_cart': True}]} from Shard shardId-000000000001 at position 49663622084652237043347622854694156180653900544849477650
2025-05-25 10:08:45 root         INFO     Processed User Session {'session_id': '586d29f9-2981-4b73-b7c1-6479ab2c91dc', 'customer_number': 367, 'city': 'North Sydney', 'country': 'Australia', 'credit_limit': 157860, 'browse_history': [{'product_code': 'S24_2000', 'quantity': '4', 'in_shopping_cart': False}, {'product_code': 'S18_2248', 'quantity': '2', 'in_shopping_cart': True}, {'product_code': 'S700_2610', 'quantity': '4', 'in_shopping_cart': True}], 'processing_timestamp': datetime.datetime(2025, 5, 25, 10, 8, 45, 573729), 'overall_product_quantity': 10, 'overall_in_shopping_cart': 6, 'total_different_products': 3}
2025-05-25 10:08:45 root         INFO     Produced record 49663623045524445412443812972064806250772015601837670402 to Shard shardId-000000000000


2025-05-25 10:08:45 root         INFO     Read User Session {'session_id': 'd49ab3ca-112c-4469-83f8-33ae6198deb8', 'customer_number': 343, 'city': 'Chatswood', 'country': 'Australia', 'credit_limit': 68117, 'browse_history': [{'product_code': 'S24_2840', 'quantity': '6', 'in_shopping_cart': True}, {'product_code': 'S24_2887', 'quantity': '1', 'in_shopping_cart': False}, {'product_code': 'S18_1662', 'quantity': '5', 'in_shopping_cart': True}, {'product_code': 'S24_2766', 'quantity': '10', 'in_shopping_cart': False}, {'product_code': 'S24_2766', 'quantity': '8', 'in_shopping_cart': False}]} from Shard shardId-000000000001 at position 49663622084652237043347622858559092025961871322055180306
2025-05-25 10:08:45 root         INFO     Processed User Session {'session_id': 'd49ab3ca-112c-4469-83f8-33ae6198deb8', 'customer_number': 343, 'city': 'Chatswood', 'country': 'Australia', 'credit_limit': 68117, 'browse_history': [{'product_code': 'S24_2840', 'quantity': '6', 'in_shopping_cart': True}, {'product_code': 'S24_2887', 'quantity': '1', 'in_shopping_cart': False}, {'product_code': 'S18_1662', 'quantity': '5', 'in_shopping_cart': True}, {'product_code': 'S24_2766', 'quantity': '10', 'in_shopping_cart': False}, {'product_code': 'S24_2766', 'quantity': '8', 'in_shopping_cart': False}], 'processing_timestamp': datetime.datetime(2025, 5, 25, 10, 8, 45, 607989), 'overall_product_quantity': 30, 'overall_in_shopping_cart': 11, 'total_different_products': 5}
2025-05-25 10:08:45 root         INFO     Produced record 49663623045524445412443812972115581135195830027175329794 to Shard shardId-000000000000


2025-05-25 10:08:45 root         INFO     Read User Session {'session_id': 'c4d1ccb4-a745-47db-a7e0-f6d681b418d4', 'customer_number': 306, 'city': 'Central Hong Kong', 'country': 'Hong Kong', 'credit_limit': 93477, 'browse_history': [{'product_code': 'S10_4757', 'quantity': '2', 'in_shopping_cart': False}, {'product_code': 'S18_4409', 'quantity': '6', 'in_shopping_cart': True}, {'product_code': 'S700_2824', 'quantity': '7', 'in_shopping_cart': True}, {'product_code': 'S700_2466', 'quantity': '1', 'in_shopping_cart': False}, {'product_code': 'S24_2011', 'quantity': '3', 'in_shopping_cart': True}]} from Shard shardId-000000000001 at position 49663622084652237043347622862236644369229574783339855890
2025-05-25 10:08:45 root         INFO     Processed User Session {'session_id': 'c4d1ccb4-a745-47db-a7e0-f6d681b418d4', 'customer_number': 306, 'city': 'Central Hong Kong', 'country': 'Hong Kong', 'credit_limit': 93477, 'browse_history': [{'product_code': 'S10_4757', 'quantity': '2', 'in_shopping_cart': False}, {'product_code': 'S18_4409', 'quantity': '6', 'in_shopping_cart': True}, {'product_code': 'S700_2824', 'quantity': '7', 'in_shopping_cart': True}, {'product_code': 'S700_2466', 'quantity': '1', 'in_shopping_cart': False}, {'product_code': 'S24_2011', 'quantity': '3', 'in_shopping_cart': True}], 'processing_timestamp': datetime.datetime(2025, 5, 25, 10, 8, 45, 637934), 'overall_product_quantity': 19, 'overall_in_shopping_cart': 16, 'total_different_products': 5}
2025-05-25 10:08:45 root         INFO     Produced record 49663623045524445412443812972143386429046966498193571842 to Shard shardId-000000000000


2025-05-25 10:08:45 root         INFO     Read User Session {'session_id': '29e6a22c-b281-4d23-9829-d366dc72f155', 'customer_number': 343, 'city': 'Strasbourg', 'country': 'France', 'credit_limit': 52028, 'browse_history': [{'product_code': 'S24_4278', 'quantity': '9', 'in_shopping_cart': True}]} from Shard shardId-000000000001 at position 49663622084652237043347622875415144728848652639492112402
2025-05-25 10:08:45 root         INFO     Processed User Session {'session_id': '29e6a22c-b281-4d23-9829-d366dc72f155', 'customer_number': 343, 'city': 'Strasbourg', 'country': 'France', 'credit_limit': 52028, 'browse_history': [{'product_code': 'S24_4278', 'quantity': '9', 'in_shopping_cart': True}], 'processing_timestamp': datetime.datetime(2025, 5, 25, 10, 8, 45, 663727), 'overall_product_quantity': 9, 'overall_in_shopping_cart': 9, 'total_different_products': 1}
2025-05-25 10:08:45 root         INFO     Produced record 49663623045524445412443812972177236351996176115085344770 to Shard shardId-000000000000


2025-05-25 10:08:45 root         INFO     Read User Session {'session_id': '8d7b458c-fb59-43af-b679-e0b567ef9839', 'customer_number': 267, 'city': 'Stuttgart', 'country': 'Germany', 'credit_limit': 100827, 'browse_history': [{'product_code': 'S12_4675', 'quantity': '9', 'in_shopping_cart': True}]} from Shard shardId-000000000001 at position 49663622084652237043347622880109403686412259786460495890
2025-05-25 10:08:45 root         INFO     Processed User Session {'session_id': '8d7b458c-fb59-43af-b679-e0b567ef9839', 'customer_number': 267, 'city': 'Stuttgart', 'country': 'Germany', 'credit_limit': 100827, 'browse_history': [{'product_code': 'S12_4675', 'quantity': '9', 'in_shopping_cart': True}], 'processing_timestamp': datetime.datetime(2025, 5, 25, 10, 8, 45, 692886), 'overall_product_quantity': 9, 'overall_in_shopping_cart': 9, 'total_different_products': 1}
2025-05-25 10:08:45 root         INFO     Produced record 49663623045524445412443812972197788090929624811055349762 to Shard shardId-000000000000


2025-05-25 10:08:45 root         INFO     Read User Session {'session_id': '21a49153-c707-474c-9cce-1a9bd29672c3', 'customer_number': 403, 'city': 'Bräcke', 'country': 'Sweden', 'credit_limit': 141200, 'browse_history': [{'product_code': 'S50_1392', 'quantity': '9', 'in_shopping_cart': False}]} from Shard shardId-000000000001 at position 49663622084652237043347622883043466650616965961703489554
2025-05-25 10:08:45 root         INFO     Processed User Session {'session_id': '21a49153-c707-474c-9cce-1a9bd29672c3', 'customer_number': 403, 'city': 'Bräcke', 'country': 'Sweden', 'credit_limit': 141200, 'browse_history': [{'product_code': 'S50_1392', 'quantity': '9', 'in_shopping_cart': False}], 'processing_timestamp': datetime.datetime(2025, 5, 25, 10, 8, 45, 719128), 'overall_product_quantity': 9, 'overall_in_shopping_cart': 0, 'total_different_products': 1}
2025-05-25 10:08:45 root         INFO     Produced record 49663623045524445412443812972272741491745731819887132674 to Shard shardId-000000000000


2025-05-25 10:08:45 root         INFO     Read User Session {'session_id': '02e7bfe6-f094-4a03-b735-30dda925bb94', 'customer_number': 387, 'city': 'Auckland', 'country': 'New Zealand', 'credit_limit': 58234, 'browse_history': [{'product_code': 'S18_3233', 'quantity': '4', 'in_shopping_cart': False}, {'product_code': 'S18_3140', 'quantity': '10', 'in_shopping_cart': False}, {'product_code': 'S50_1514', 'quantity': '7', 'in_shopping_cart': False}]} from Shard shardId-000000000002 at position 49663622084674537788546153483347184710549645237986263074
2025-05-25 10:08:45 root         INFO     Processed User Session {'session_id': '02e7bfe6-f094-4a03-b735-30dda925bb94', 'customer_number': 387, 'city': 'Auckland', 'country': 'New Zealand', 'credit_limit': 58234, 'browse_history': [{'product_code': 'S18_3233', 'quantity': '4', 'in_shopping_cart': False}, {'product_code': 'S18_3140', 'quantity': '10', 'in_shopping_cart': False}, {'product_code': 'S50_1514', 'quantity': '7', 'in_shopping_cart': False}], 'processing_timestamp': datetime.datetime(2025, 5, 25, 10, 8, 45, 770429), 'overall_product_quantity': 21, 'overall_in_shopping_cart': 0, 'total_different_products': 3}
2025-05-25 10:08:45 root         INFO     Produced record 49663623045546746157642343595450544984606819056634298386 to Shard shardId-000000000001


2025-05-25 10:08:45 root         INFO     Read User Session {'session_id': 'eb0b998b-849a-4be5-b2ef-4780b2234b5f', 'customer_number': 305, 'city': 'Pasadena', 'country': 'USA', 'credit_limit': 128981, 'browse_history': [{'product_code': 'S18_1129', 'quantity': '2', 'in_shopping_cart': False}, {'product_code': 'S24_3420', 'quantity': '2', 'in_shopping_cart': True}, {'product_code': 'S18_3232', 'quantity': '8', 'in_shopping_cart': True}, {'product_code': 'S24_3432', 'quantity': '9', 'in_shopping_cart': False}, {'product_code': 'S24_2766', 'quantity': '9', 'in_shopping_cart': True}]} from Shard shardId-000000000002 at position 49663622084674537788546153493607338141619007579203043362
2025-05-25 10:08:45 root         INFO     Processed User Session {'session_id': 'eb0b998b-849a-4be5-b2ef-4780b2234b5f', 'customer_number': 305, 'city': 'Pasadena', 'country': 'USA', 'credit_limit': 128981, 'browse_history': [{'product_code': 'S18_1129', 'quantity': '2', 'in_shopping_cart': False}, {'product_code': 'S24_3420', 'quantity': '2', 'in_shopping_cart': True}, {'product_code': 'S18_3232', 'quantity': '8', 'in_shopping_cart': True}, {'product_code': 'S24_3432', 'quantity': '9', 'in_shopping_cart': False}, {'product_code': 'S24_2766', 'quantity': '9', 'in_shopping_cart': True}], 'processing_timestamp': datetime.datetime(2025, 5, 25, 10, 8, 45, 794996), 'overall_product_quantity': 30, 'overall_in_shopping_cart': 19, 'total_different_products': 5}
2025-05-25 10:08:45 root         INFO     Produced record 49663623045546746157630406811486852871234223432030748690 to Shard shardId-000000000001


2025-05-25 10:08:45 root         INFO     Read User Session {'session_id': '9649623a-30cb-44ea-af2d-ecd591dc9dd5', 'customer_number': 180, 'city': 'Cowes', 'country': 'UK', 'credit_limit': 104992, 'browse_history': [{'product_code': 'S24_4278', 'quantity': '9', 'in_shopping_cart': False}, {'product_code': 'S18_2870', 'quantity': '4', 'in_shopping_cart': True}, {'product_code': 'S12_3990', 'quantity': '6', 'in_shopping_cart': True}]} from Shard shardId-000000000002 at position 49663622084674537788546153494028044326844898738159222818
2025-05-25 10:08:45 root         INFO     Processed User Session {'session_id': '9649623a-30cb-44ea-af2d-ecd591dc9dd5', 'customer_number': 180, 'city': 'Cowes', 'country': 'UK', 'credit_limit': 104992, 'browse_history': [{'product_code': 'S24_4278', 'quantity': '9', 'in_shopping_cart': False}, {'product_code': 'S18_2870', 'quantity': '4', 'in_shopping_cart': True}, {'product_code': 'S12_3990', 'quantity': '6', 'in_shopping_cart': True}], 'processing_timestamp': datetime.datetime(2025, 5, 25, 10, 8, 45, 819495), 'overall_product_quantity': 19, 'overall_in_shopping_cart': 10, 'total_different_products': 3}
2025-05-25 10:08:45 root         INFO     Produced record 49663623045546746157642343595518244830505238290417844242 to Shard shardId-000000000001


2025-05-25 10:08:45 root         INFO     Read User Session {'session_id': 'e960649a-bf98-40b1-a467-b1909c4165ba', 'customer_number': 468, 'city': 'Bergen', 'country': 'Norway', 'credit_limit': 27850, 'browse_history': [{'product_code': 'S32_3207', 'quantity': '8', 'in_shopping_cart': True}, {'product_code': 'S18_4668', 'quantity': '8', 'in_shopping_cart': False}, {'product_code': 'S24_1046', 'quantity': '2', 'in_shopping_cart': True}, {'product_code': 'S32_3522', 'quantity': '7', 'in_shopping_cart': False}, {'product_code': 'S24_2841', 'quantity': '7', 'in_shopping_cart': False}]} from Shard shardId-000000000002 at position 49663622084674537788546153494801756851398261684849082402
2025-05-25 10:08:45 root         INFO     Processed User Session {'session_id': 'e960649a-bf98-40b1-a467-b1909c4165ba', 'customer_number': 468, 'city': 'Bergen', 'country': 'Norway', 'credit_limit': 27850, 'browse_history': [{'product_code': 'S32_3207', 'quantity': '8', 'in_shopping_cart': True}, {'product_code': 'S18_4668', 'quantity': '8', 'in_shopping_cart': False}, {'product_code': 'S24_1046', 'quantity': '2', 'in_shopping_cart': True}, {'product_code': 'S32_3522', 'quantity': '7', 'in_shopping_cart': False}, {'product_code': 'S24_2841', 'quantity': '7', 'in_shopping_cart': False}], 'processing_timestamp': datetime.datetime(2025, 5, 25, 10, 8, 45, 847027), 'overall_product_quantity': 32, 'overall_in_shopping_cart': 10, 'total_different_products': 5}
2025-05-25 10:08:45 root         INFO     Produced record 49663623045546746157642343595575064344027125861629034514 to Shard shardId-000000000001


2025-05-25 10:08:45 root         INFO     Read User Session {'session_id': 'fff69d6d-51ff-489e-9320-d532fa201982', 'customer_number': 139, 'city': 'Makati City', 'country': 'Philippines', 'credit_limit': 44271, 'browse_history': [{'product_code': 'S18_1129', 'quantity': '7', 'in_shopping_cart': False}, {'product_code': 'S24_3432', 'quantity': '4', 'in_shopping_cart': False}, {'product_code': 'S24_2972', 'quantity': '5', 'in_shopping_cart': False}, {'product_code': 'S18_3232', 'quantity': '5', 'in_shopping_cart': False}, {'product_code': 'S10_4698', 'quantity': '2', 'in_shopping_cart': True}]} from Shard shardId-000000000002 at position 49663622084674537788546153502179831128506346149420990498
2025-05-25 10:08:45 root         INFO     Processed User Session {'session_id': 'fff69d6d-51ff-489e-9320-d532fa201982', 'customer_number': 139, 'city': 'Makati City', 'country': 'Philippines', 'credit_limit': 44271, 'browse_history': [{'product_code': 'S18_1129', 'quantity': '7', 'in_shopping_cart': False}, {'product_code': 'S24_3432', 'quantity': '4', 'in_shopping_cart': False}, {'product_code': 'S24_2972', 'quantity': '5', 'in_shopping_cart': False}, {'product_code': 'S18_3232', 'quantity': '5', 'in_shopping_cart': False}, {'product_code': 'S10_4698', 'quantity': '2', 'in_shopping_cart': True}], 'processing_timestamp': datetime.datetime(2025, 5, 25, 10, 8, 45, 871000), 'overall_product_quantity': 23, 'overall_in_shopping_cart': 2, 'total_different_products': 5}
2025-05-25 10:08:45 root         INFO     Produced record 49663623045546746157642343595611332118615564736870219794 to Shard shardId-000000000001


2025-05-25 10:08:45 root         INFO     Read User Session {'session_id': 'a69101ad-0fde-4f1c-98a6-5a7f7da5e077', 'customer_number': 179, 'city': 'Singapore', 'country': 'Singapore', 'credit_limit': 122590, 'browse_history': [{'product_code': 'S24_3432', 'quantity': '2', 'in_shopping_cart': True}, {'product_code': 'S18_3140', 'quantity': '9', 'in_shopping_cart': True}]} from Shard shardId-000000000002 at position 49663622084674537788546153508003226801590017083003895842
2025-05-25 10:08:45 root         INFO     Processed User Session {'session_id': 'a69101ad-0fde-4f1c-98a6-5a7f7da5e077', 'customer_number': 179, 'city': 'Singapore', 'country': 'Singapore', 'credit_limit': 122590, 'browse_history': [{'product_code': 'S24_3432', 'quantity': '2', 'in_shopping_cart': True}, {'product_code': 'S18_3140', 'quantity': '9', 'in_shopping_cart': True}], 'processing_timestamp': datetime.datetime(2025, 5, 25, 10, 8, 45, 896711), 'overall_product_quantity': 11, 'overall_in_shopping_cart': 11, 'total_different_products': 2}
2025-05-25 10:08:45 root         INFO     Produced record 49663623045546746157642343595621003525172481770267869202 to Shard shardId-000000000001


2025-05-25 10:08:45 root         INFO     Read User Session {'session_id': '17ad7cdb-c8c2-475f-ac1f-b884370be222', 'customer_number': 162, 'city': 'Århus', 'country': 'Denmark', 'credit_limit': 157742, 'browse_history': [{'product_code': 'S18_2795', 'quantity': '6', 'in_shopping_cart': True}, {'product_code': 'S18_1367', 'quantity': '5', 'in_shopping_cart': False}]} from Shard shardId-000000000002 at position 49663622084674537788546153509808153050274659128034983970
2025-05-25 10:08:45 root         INFO     Processed User Session {'session_id': '17ad7cdb-c8c2-475f-ac1f-b884370be222', 'customer_number': 162, 'city': 'Århus', 'country': 'Denmark', 'credit_limit': 157742, 'browse_history': [{'product_code': 'S18_2795', 'quantity': '6', 'in_shopping_cart': True}, {'product_code': 'S18_1367', 'quantity': '5', 'in_shopping_cart': False}], 'processing_timestamp': datetime.datetime(2025, 5, 25, 10, 8, 45, 920879), 'overall_product_quantity': 11, 'overall_in_shopping_cart': 6, 'total_different_products': 2}
2025-05-25 10:08:45 root         INFO     Produced record 49663623045546746157642343595629466005909784174490812434 to Shard shardId-000000000001


